onset	duration	trial_type	value	sample
204.441	4.0	right_hand	2	204441
212.44	4.0	left_hand	1	212440
220.439	4.0	left_hand	1	220439
228.439	4.0	right_hand	2	228439
236.439	4.0	left_hand	1	236439
244.438	4.0	left_hand	1	244438
252.438	4.0	left_hand	1	252438
260.438	4.0	right_hand	2	260438
268.437	4.0	right_hand	2	268437
276.437	4.0	left_hand	1	276437
284.437	4.0	right_hand	2	284437
292.436	4.0	left_hand	1	292436
300.435	4.0	left_hand	1	300435
308.435	4.0	right_hand	2	308435
316.435	4.0	right_hand	2	316435
324.434	4.0	left_hand	1	324434
332.433	4.0	left_hand	1	332433
340.433	4.0	left_hand	1	340433
348.433	4.0	left_hand	1	348433
356.432	4.0	right_hand	2	356432
364.432	4.0	right_hand	2	364432
372.431	4.0	left_hand	1	372431
380.43	4.0	right_hand	2	380430
388.431	4.0	left_hand	1	388431
396.431	4.0	left_hand	1	396431
404.429	4.0	right_hand	2	404429
412.43	4.0	left_hand	1	412430
420.43	4.0	right_hand	2	420430
428.428	4.0	right_hand	2	428428
436.428	4.0	left_hand	1	436428
444.428	4.0	right_hand	2	444428
452.427	4.0	right_hand	2	452427
460.427	4.0	left_hand	1	460427
468.427	4.0	right_hand	2	468427
476.426	4.0	left_hand	1	476426
484.425	4.0	right_hand	2	484425
492.425	4.0	right_hand	2	492425
500.424	4.0	right_hand	2	500424
508.424	4.0	left_hand	1	508424
516.423	4.0	right_hand	2	516423
617.217	4.0	right_hand	2	617217
625.218	4.0	left_hand	1	625218
633.217	4.0	right_hand	2	633217
641.217	4.0	right_hand	2	641217
649.216	4.0	right_hand	2	649216
657.215	4.0	right_hand	2	657215
665.214	4.0	left_hand	1	665214
673.214	4.0	left_hand	1	673214
681.214	4.0	right_hand	2	681214
689.213	4.0	right_hand	2	689213
697.213	4.0	right_hand	2	697213
705.212	4.0	right_hand	2	705212
713.212	4.0	right_hand	2	713212
721.212	4.0	left_hand	1	721212
729.211	4.0	right_hand	2	729211
737.211	4.0	right_hand	2	737211
745.211	4.0	left_hand	1	745211
753.209	4.0	left_hand	1	753209
761.21	4.0	left_hand	1	761210
769.209	4.0	right_hand	2	769209
777.208	4.0	left_hand	1	777208
785.208	4.0	left_hand	1	785208
793.208	4.0	right_hand	2	793208
801.207	4.0	left_hand	1	801207
809.207	4.0	left_hand	1	809207
817.205	4.0	left_hand	1	817205
825.205	4.0	left_hand	1	825205
833.205	4.0	right_hand	2	833205
841.205	4.0	right_hand	2	841205
849.204	4.0	left_hand	1	849204
857.204	4.0	right_hand	2	857204
865.203	4.0	left_hand	1	865203
873.203	4.0	left_hand	1	873203
881.203	4.0	left_hand	1	881203
889.202	4.0	right_hand	2	889202
897.202	4.0	left_hand	1	897202
905.201	4.0	right_hand	2	905201
913.201	4.0	left_hand	1	913201
921.2	4.0	right_hand	2	921200
929.2	4.0	left_hand	1	929200
1031.328	4.0	left_hand	1	1031328
1039.327	4.0	right_hand	2	1039327
1047.327	4.0	left_hand	1	1047327
